run_id,quality_state,max_round,parsed_row_count,dataset,aggregation
cic_simple_0ce0019a5b_comp_fedavg_alpha1.0_adv20_dp0_pers0_mu0.0_seed51,complete_or_exceeds_target,20.0,20,cic,fedavg
cic_simple_0d10cbdc96_comp_fedprox_alpha0.02_adv0_dp0_pers0_mu0.05_seed45,complete_or_exceeds_target,20.0,20,cic,fedprox
cic_simple_0d507d6c1c_comp_median_alphainf_adv20_dp0_pers0_mu0.0_seed43,complete_or_exceeds_target,20.0,20,cic,median
cic_simple_0d5219a63d_comp_krum_alpha0.5_adv0_dp0_pers0_mu0.0_seed50,complete_or_exceeds_target,20.0,20,cic,krum
cic_simple_0d69f2f6ab_comp_bulyan_alphainf_adv0_dp0_pers0_mu0.0_seed54,complete_or_exceeds_target,20.0,20,cic,bulyan
cic_simple_0d6fbc5142_comp_fedavg_alpha0.2_adv0_dp0_pers0_mu0.01_seed42,complete_or_exceeds_target,20.0,20,cic,fedavg
cic_simple_0d7c24544f_comp_bulyan_alpha1.0_adv0_dp0_pers0_mu0.0_seed44,complete_or_exceeds_target,20.0,20,cic,bulyan
cic_simple_0d94ba39b1_comp_krum_alpha0.02_adv20_dp0_pers0_mu0.0_seed45,complete_or_exceeds_target,20.0,20,cic,krum
cic_simple_0d98d42b20_comp_median_alphainf_adv10_dp0_pers0_mu0.0_seed54,complete_or_exceeds_target,20.0,20,cic,median
cic_simple_0d9b0c84c7_comp_fedavg_alpha0.2_adv20_dp0_pers0_mu0.0_seed55,complete_or_exceeds_target,20.0,20,cic,fedavg
cic_simple_0dad0dd303_comp_median_alpha0.1_adv20_dp0_pers0_mu0.0_seed46,complete_or_exceeds_target,20.0,20,cic,median
cic_simple_0db0fbea8e_comp_fedavg_alpha0.2_adv0_dp0_pers0_mu0.005_seed43,complete_or_exceeds_target,20.0,20,cic,fedavg
cic_simple_0dbde64fde_comp_bulyan_alpha0.1_adv0_dp0_pers0_mu0.0_seed48,complete_or_exceeds_target,20.0,20,cic,bulyan
cic_simple_0dea1e3399_comp_krum_alpha0.02_adv0_dp0_pers0_mu0.0_seed56,complete_or_exceeds_target,20.0,20,cic,krum
cic_simple_0df5aa9894_comp_median_alpha0.05_adv0_dp0_pers0_mu0.0_seed61,complete_or_exceeds_target,20.0,20,cic,median
cic_simple_0dfa3fe6e2_comp_median_alpha1.0_adv30_dp0_pers0_mu0.0_seed51,complete_or_exceeds_target,20.0,20,cic,median
cic_simple_0e0f856ed9_comp_median_alpha0.2_adv10_dp0_pers0_mu0.0_seed50,complete_or_exceeds_target,20.0,20,cic,median
cic_simple_0e439c669d_comp_fedavg_alpha0.02_adv0_dp0_pers0_mu0.05_seed42,complete_or_exceeds_target,20.0,20,cic,fedavg
cic_simple_0e4e6fb070_comp_krum_alpha0.02_adv20_dp0_pers0_mu0.0_seed49,complete_or_exceeds_target,20.0,20,cic,krum
cic_simple_0ed7a389b3_comp_bulyan_alpha0.5_adv0_dp0_pers0_mu0.0_seed46,complete_or_exceeds_target,20.0,20,cic,bulyan
cic_simple_0f1633dc60_comp_fedavg_alpha0.02_adv0_dp0_pers0_mu0.0_seed52,complete_or_exceeds_target,20.0,20,cic,fedavg
